Hemifield,Shape,C1,C2,C3
Left,Broad,1,1,1
Left,Broad,1,1,1
Left,Broad,1,1,1
Left,Broad,1,1,1
Left,Broad,1,1,1
Left,Broad,1,1,1
Left,Split,1,0,1
Left,Split,1,0,1
Left,Split,1,0,1
Left,Split,1,0,1
Left,Split,1,0,1
Left,Split,1,0,1
Left,Narrow,1,1,0
Left,Narrow,1,1,0
Left,Narrow,1,1,0
Left,Narrow,0,1,1
Left,Narrow,0,1,1
Left,Narrow,0,1,1
Left,Single,1,0,0
Left,Single,1,0,0
Left,Single,0,1,0
Left,Single,0,1,0
Left,Single,0,0,1
Left,Single,0,0,1
Right,Broad,1,1,1
Right,Broad,1,1,1
Right,Broad,1,1,1
Right,Broad,1,1,1
Right,Broad,1,1,1
Right,Broad,1,1,1
Right,Split,1,0,1
Right,Split,1,0,1
Right,Split,1,0,1
Right,Split,1,0,1
Right,Split,1,0,1
Right,Split,1,0,1
Right,Narrow,1,1,0
Right,Narrow,1,1,0
Right,Narrow,1,1,0
Right,Narrow,0,1,1
Right,Narrow,0,1,1
Right,Narrow,0,1,1
Right,Single,1,0,0
Right,Single,1,0,0
Right,Single,0,1,0
Right,Single,0,1,0
Right,Single,0,0,1
Right,Single,0,0,1